testid,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL
5085401, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic)
5255948, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5301255, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5306031, VU2: Other / VU3: Bicyclist,V1:(Collision with pedestrian)
5086097, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic)
5074180, VU1: Bicyclist,V1:(Collision with pedestrian)
5074262, VU4: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car)) / V2:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5312654, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5074316, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5074785, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5098018, VU2: Bicyclist,
5313167, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5323425, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5323501, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5075457, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5346761, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5288582, VU2: Other / VU3: Other / VU4: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5308176, VU2: Other / VU3: Other / VU4: Bicyclist / VU5: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5104410, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic)
5362550, VU2: Other / VU3: Other / VU4: Pedestrian,V1:(Collision with pedestrian)
5088718, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian)
5200052, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian)
5245082, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian)
5245886, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian)
