,testid,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL,PEDESTRIAN,CYCLIST,OTHER
132,5074785, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
133,5098018, VU2: Bicyclist,,0,1,0
134,5313167, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,1
135,5323425, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,1
136,5323501, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,1
137,5075457, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
138,5346761, VU2: Other / VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,1
139,5288582, VU2: Other / VU3: Other / VU4: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,1
140,5308176, VU2: Other / VU3: Other / VU4: Bicyclist / VU5: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,1
141,5104410, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic),0,1,0
142,5362550, VU2: Other / VU3: Other / VU4: Pedestrian,V1:(Collision with pedestrian),1,0,1
143,5088718, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian),1,0,1
144,5200052, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian),1,0,1
145,5245082, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian),1,0,1
146,5245886, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian),1,0,1
147,5269901, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian),1,0,1
148,5308451, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian),1,0,1
149,5367765, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian),1,0,1
150,5368572, VU2: Other / VU3: Pedestrian,V1:(Collision with pedestrian),1,0,1
151,5118142, VU2: Other / VU3: Pedestrian / VU4: Bicyclist,V1:(Collision with pedestrian),1,1,1
152,5076410, VU2: Other,V1:(Collision with pedestrian),1,0,1
153,5104257, VU2: Bicyclist,V1:(Collision with motor vehicle in traffic),0,1,0
154,5107353, VU2: Bicyclist,V1:(Collision with other movable object),0,1,0
155,5053437, VU2: Pedestrian,V1:(Collision with pedestrian),1,0,0
156,5053777, VU2: Pedestrian,V1:(Collision with pedestrian),1,0,0
157,5056246, VU2: Pedestrian,V1:(Collision with pedestrian),1,0,0
158,5056716, VU2: Pedestrian,V1:(Collision with pedestrian),1,0,0
