,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
28,MassDOT,5070793,SOMERVILLE,2022,2022-01-28,0,16:13:00,Local,0,0,0.0,42.40570332,-71.13109395,0,2022-01-28 16:13:00,SomervillePD,22004433,SOMERVILLE,2022,2022-01-28,0,16:13:00,,0,0,0.0,42.4059,-71.131,,2022-01-28 16:13:00,23.149671395396716,0.0,0.8379523002322229
29,SomervillePD,22004829,SOMERVILLE,2022,2022-01-31,2,07:43:00,,0,0,0.0,42.3833,-71.1126,,2022-01-31 07:43:00,MassDOT,5070739,SOMERVILLE,2022,2022-01-31,2,07:43:00,Local,0,0,0.0,42.38317285,-71.11241406,0,2022-01-31 07:43:00,20.775319032670645,0.0,0.8545727667713054
30,SomervillePD,22004892,SOMERVILLE,2022,2022-01-31,2,16:07:00,,0,0,0.0,42.3929,-71.0857,,2022-01-31 16:07:00,MassDOT,5070805,SOMERVILLE,2022,2022-01-31,2,16:07:00,Local,0,0,0.0,42.39252505,-71.08544953,0,2022-01-31 16:07:00,46.40885739481925,0.0,0.6751379982362651
31,MassDOT,5070804,SOMERVILLE,2022,2022-01-31,0,16:25:00,Local,0,0,0.0,42.40118309,-71.11708477,0,2022-01-31 16:25:00,SomervillePD,22004897,SOMERVILLE,2022,2022-01-31,0,16:25:00,,0,0,0.0,42.4011,-71.1175,,2022-01-31 16:25:00,35.262663080871086,0.0,0.7531613584339023
32,MassDOT,5070794,SOMERVILLE,2022,2022-01-31,2,23:17:00,Local,0,0,0.0,42.38166925,-71.08385283,0,2022-01-31 23:17:00,SomervillePD,22004952,SOMERVILLE,2022,2022-01-31,2,23:17:00,,0,0,0.0,42.3817,-71.0839,,2022-01-31 23:17:00,5.158342098426538,0.0,0.9638916053110143
33,MassDOT,5081588,SOMERVILLE,2022,2022-02-01,0,08:15:00,Local,0,0,0.0,42.38814787,-71.08830828,0,2022-02-01 08:15:00,SomervillePD,22005010,SOMERVILLE,2022,2022-02-01,0,08:15:00,,0,0,0.0,42.3885,-71.0879,,2022-02-01 08:15:00,51.46020859061137,0.0,0.6397785398657203
34,SomervillePD,22005496,SOMERVILLE,2022,2022-02-03,0,21:43:00,,0,0,0.0,42.3929,-71.1182,,2022-02-03 21:43:00,MassDOT,5081399,SOMERVILLE,2022,2022-02-03,0,21:43:00,Local,0,0,0.0,42.39307338,-71.11813939,0,2022-02-03 21:43:00,19.876234287358344,0.0,0.8608663599884916
35,MassDOT,5081477,SOMERVILLE,2022,2022-02-04,2,06:36:00,Local,0,1,0.0,42.39708471,-71.12297968,0,2022-02-04 06:36:00,SomervillePD,22005546,SOMERVILLE,2022,2022-02-04,2,06:36:00,,0,1,0.0,42.3972,-71.1233,,2022-02-04 06:36:00,29.209900027046455,0.0,0.7955306998106748
36,SomervillePD,22005647,SOMERVILLE,2022,2022-02-04,0,18:03:00,,0,0,0.0,42.3943,-71.0904,,2022-02-04 18:03:00,MassDOT,5081479,SOMERVILLE,2022,2022-02-04,0,18:03:00,Local,0,0,0.0,42.39421909,-71.0904206,0,2022-02-04 18:03:00,9.138395177882332,0.0,0.9360312337548236
37,SomervillePD,22005906,SOMERVILLE,2022,2022-02-06,2,14:00:00,,0,1,0.0,42.3947,-71.0828,,2022-02-06 14:00:00,MassDOT,5081411,SOMERVILLE,2022,2022-02-06,2,14:00:00,Local,0,1,0.0,42.39465166,-71.08360633,0,2022-02-06 14:00:00,66.31670721689157,0.0,0.535783049481759
38,MassDOT,5081407,SOMERVILLE,2022,2022-02-06,0,16:12:00,Local,0,0,0.0,42.39503872,-71.11110032,0,2022-02-06 16:12:00,SomervillePD,22005920,SOMERVILLE,2022,2022-02-06,0,16:12:00,,0,0,0.0,42.395,-71.1109,,2022-02-06 16:12:00,16.974366910746028,0.0,0.8811794316247776
39,SomervillePD,22006039,SOMERVILLE,2022,2022-02-07,0,08:49:00,,0,0,1.0,42.3916,-71.1091,,2022-02-07 08:49:00,MassDOT,5081397,SOMERVILLE,2022,2022-02-07,0,08:49:00,Local,0,0,0.0,42.39137302,-71.10897973,0,2022-02-07 08:49:00,27.05531658851097,0.0,0.8106127838804231
40,MassDOT,5081398,SOMERVILLE,2022,2022-02-07,0,15:35:00,Local,0,0,0.0,42.37606008,-71.09622967,0,2022-02-07 15:35:00,SomervillePD,22006119,SOMERVILLE,2022,2022-02-07,0,15:35:00,,0,0,0.0,42.3761,-71.0962,,2022-02-07 15:35:00,5.0550958407120214,0.0,0.9646143291150158
